"Sample","Taxon","Rank","Genus","Family","Order","n"
"22","Lupinus sericeus","Species","Lupinus","Fabaceae","Fabales",2
"22","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",2
"23","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",52511
"23","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",16218
"23","Delphinium sp.","Genus","Delphinium","Ranunculaceae","Ranunculales",8553
"23","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",1063
"23","Senecio sp.","Genus","Senecio","Asteraceae","Asterales",1013
"23","Trollius sp.","Genus","Trollius","Ranunculaceae","Ranunculales",802
"23","Thalictrum sp.","Genus","Thalictrum","Ranunculaceae","Ranunculales",796
"23","Hypericum scouleri","Species","Hypericum","Hypericaceae","Malpighiales",757
"23","Viola sp.","Genus","Viola","Violaceae","Malpighiales",674
"23","Potentilla pulcherrima","Species","Potentilla","Rosaceae","Rosales",640
"24","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",7629
"24","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",3566
"24","Delphinium sp.","Genus","Delphinium","Ranunculaceae","Ranunculales",2560
"24","Taraxacum campylodes","Species","Taraxacum","Asteraceae","Asterales",532
"24","Aquilegia sp.","Genus","Aquilegia","Ranunculaceae","Ranunculales",263
"24","Trollius sp.","Genus","Trollius","Ranunculaceae","Ranunculales",249
"24","Caltha leptosepala","Species","Caltha","Ranunculaceae","Ranunculales",213
"24","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",172
"24","Parnassia fimbriata","Species","Parnassia","Celastraceae","Celastrales",162
"24","Senecio sp.","Genus","Senecio","Asteraceae","Asterales",143
"25","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",34672
"25","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",18231
"25","Delphinium sp.","Genus","Delphinium","Ranunculaceae","Ranunculales",11773
"25","Trollius sp.","Genus","Trollius","Ranunculaceae","Ranunculales",899
"25","Thalictrum sp.","Genus","Thalictrum","Ranunculaceae","Ranunculales",773
"25","Taraxacum campylodes","Species","Taraxacum","Asteraceae","Asterales",735
"25","Caltha leptosepala","Species","Caltha","Ranunculaceae","Ranunculales",609
"25","Parnassia fimbriata","Species","Parnassia","Celastraceae","Celastrales",489
"25","Aquilegia sp.","Genus","Aquilegia","Ranunculaceae","Ranunculales",451
"25","Anemone sp.","Genus","Anemone","Ranunculaceae","Ranunculales",443
"26","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",229834
"26","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",130713
"26","Delphinium sp.","Genus","Delphinium","Ranunculaceae","Ranunculales",73520
"26","Taraxacum campylodes","Species","Taraxacum","Asteraceae","Asterales",11728
"26","Trollius sp.","Genus","Trollius","Ranunculaceae","Ranunculales",5815
